zip,street,units,type,url_addr
92618,Cunningham,34,Single Family,https://www.trulia.com/p/ca/irvine/65-cunningham-irvine-ca-92618--2081048087
92618,Cunningham,34,Single Family,https://www.trulia.com/p/ca/irvine/66-cunningham-irvine-ca-92618--2081048173
92618,Cunningham,34,Single Family,https://www.trulia.com/p/ca/irvine/67-cunningham-irvine-ca-92618--2081048229
92618,Cunningham,34,Single Family,https://www.trulia.com/p/ca/irvine/68-cunningham-irvine-ca-92618--2081048273
92618,Cunningham,34,Single Family,https://www.trulia.com/p/ca/irvine/70-cunningham-irvine-ca-92618--2081048458
92618,Cunningham,34,Single Family,https://www.trulia.com/p/ca/irvine/72-cunningham-irvine-ca-92618--2081048674
92618,Cunningham,34,Single Family,https://www.trulia.com/p/ca/irvine/74-cunningham-irvine-ca-92618--2081048848
92618,Cunningham,34,Single Family,https://www.trulia.com/p/ca/irvine/75-cunningham-irvine-ca-92618--1059431054
92618,Cunningham,34,Single Family,https://www.trulia.com/p/ca/irvine/76-cunningham-irvine-ca-92618--2081048955
92618,Cunningham,34,Single Family,https://www.trulia.com/p/ca/irvine/77-cunningham-irvine-ca-92618--2081049015
92618,Cunningham,34,Single Family,https://www.trulia.com/p/ca/irvine/78-cunningham-irvine-ca-92618--2081049052
92618,Cunningham,34,Single Family,https://www.trulia.com/p/ca/irvine/79-cunningham-irvine-ca-92618--2081049086
92618,Cunningham,34,Single Family,https://www.trulia.com/p/ca/irvine/80-cunningham-irvine-ca-92618--2081049208
92618,Cunningham,34,Single Family,https://www.trulia.com/p/ca/irvine/81-cunningham-irvine-ca-92618--2081049284
92618,Cunningham,34,Single Family,https://www.trulia.com/p/ca/irvine/82-cunningham-irvine-ca-92618--1059659054
92618,Cunningham,34,Single Family,https://www.trulia.com/p/ca/irvine/83-cunningham-irvine-ca-92618--2081049471
92618,Cunningham,34,Single Family,https://www.trulia.com/p/ca/irvine/84-cunningham-irvine-ca-92618--2081049507
92618,Cunningham,34,Single Family,https://www.trulia.com/p/ca/irvine/85-cunningham-irvine-ca-92618--2081049548
92618,Cunningham,34,Single Family,https://www.trulia.com/p/ca/irvine/86-cunningham-irvine-ca-92618--2081049606
92618,Cunningham,34,Single Family,https://www.trulia.com/p/ca/irvine/87-cunningham-irvine-ca-92618--2283641495
92618,Cunningham,34,Single Family,https://www.trulia.com/p/ca/irvine/87-cunningham-irvine-ca-92618--2313676320
92618,Cunningham,34,Single Family,https://www.trulia.com/p/ca/irvine/88-cunningham-irvine-ca-92618--1059842537
92618,Gray Dove,34,Single Family,https://www.trulia.com/p/ca/irvine/20-gray-dove-irvine-ca-92618--2081042624
92618,Gray Dove,34,Single Family,https://www.trulia.com/p/ca/irvine/21-gray-dove-irvine-ca-92618--2081042903
92618,Gray Dove,34,Single Family,https://www.trulia.com/p/ca/irvine/22-gray-dove-irvine-ca-92618--1056378601
92618,Gray Dove,34,Single Family,https://www.trulia.com/p/ca/irvine/23-gray-dove-irvine-ca-92618--2081043486
92618,Gray Dove,34,Single Family,https://www.trulia.com/p/ca/irvine/25-gray-dove-irvine-ca-92618--2081043830
92618,Gray Dove,34,Single Family,https://www.trulia.com/p/ca/irvine/26-gray-dove-irvine-ca-92618--2081044005
92618,Gray Dove,34,Single Family,https://www.trulia.com/p/ca/irvine/27-gray-dove-irvine-ca-92618--2081044110
92618,Gray Dove,34,Single Family,https://www.trulia.com/p/ca/irvine/28-gray-dove-irvine-ca-92618--2081044227
92618,Gray Dove,34,Single Family,https://www.trulia.com/p/ca/irvine/29-gray-dove-irvine-ca-92618--2081044330
92618,Gray Dove,34,Single Family,https://www.trulia.com/p/ca/irvine/30-gray-dove-irvine-ca-92618--1017504495
92618,Gray Dove,34,Single Family,https://www.trulia.com/p/ca/irvine/31-gray-dove-irvine-ca-92618--1057259331
92618,Gray Dove,34,Single Family,https://www.trulia.com/p/ca/irvine/32-gray-dove-irvine-ca-92618--2081044937
92618,Gray Dove,34,Single Family,https://www.trulia.com/p/ca/irvine/33-gray-dove-irvine-ca-92618--2081045086
92618,Gray Dove,34,Single Family,https://www.trulia.com/p/ca/irvine/37-gray-dove-irvine-ca-92618--2081045480
92618,Gray Dove,34,Single Family,https://www.trulia.com/p/ca/irvine/38-gray-dove-irvine-ca-92618--1030814653
92618,Gray Dove,34,Single Family,https://www.trulia.com/p/ca/irvine/39-gray-dove-irvine-ca-92618--2081045617
92618,Gray Dove,34,Single Family,https://www.trulia.com/p/ca/irvine/40-gray-dove-irvine-ca-92618--1057869356
92618,Gray Dove,34,Single Family,https://www.trulia.com/p/ca/irvine/41-gray-dove-irvine-ca-92618--2081045918
92618,Gray Dove,34,Single Family,https://www.trulia.com/p/ca/irvine/42-gray-dove-irvine-ca-92618--1058020094
92618,Gray Dove,34,Single Family,https://www.trulia.com/p/ca/irvine/45-gray-dove-irvine-ca-92618--2081046338
92618,Gray Dove,34,Single Family,https://www.trulia.com/p/ca/irvine/47-gray-dove-irvine-ca-92618--2081046447
92618,Gray Dove,34,Single Family,https://www.trulia.com/p/ca/irvine/49-gray-dove-irvine-ca-92618--2081046531
92618,Gray Dove,34,Single Family,https://www.trulia.com/p/ca/irvine/50-gray-dove-irvine-ca-92618--2081046663
92618,Gray Dove,34,Single Family,https://www.trulia.com/p/ca/irvine/51-gray-dove-irvine-ca-92618--2081046839
92618,Gray Dove,34,Single Family,https://www.trulia.com/p/ca/irvine/52-gray-dove-irvine-ca-92618--2081046942
92618,Gray Dove,34,Single Family,https://www.trulia.com/p/ca/irvine/53-gray-dove-irvine-ca-92618--2081047051
92618,Gray Dove,34,Single Family,https://www.trulia.com/p/ca/irvine/54-gray-dove-irvine-ca-92618--2081047117
92618,Gray Dove,34,Single Family,https://www.trulia.com/p/ca/irvine/55-gray-dove-irvine-ca-92618--2145415812
92618,Gray Dove,34,Single Family,https://www.trulia.com/p/ca/irvine/55-gray-dove-irvine-ca-92618--2313676427
92618,Gray Dove,34,Single Family,https://www.trulia.com/p/ca/irvine/56-gray-dove-irvine-ca-92618--2081047266
92618,Gray Dove,34,Single Family,https://www.trulia.com/p/ca/irvine/57-gray-dove-irvine-ca-92618--2081047332
92618,Gray Dove,34,Single Family,https://www.trulia.com/p/ca/irvine/58-gray-dove-irvine-ca-92618--1002993712
92618,Gray Dove,34,Single Family,https://www.trulia.com/p/ca/irvine/59-gray-dove-irvine-ca-92618--1058810378
92618,Gray Dove,34,Single Family,https://www.trulia.com/p/ca/irvine/60-gray-dove-irvine-ca-92618--2081047593
92618,Pembroke,34,Single Family,https://www.trulia.com/p/ca/irvine/23-pembroke-irvine-ca-92618--2081043514
92618,Pembroke,34,Single Family,https://www.trulia.com/p/ca/irvine/25-pembroke-irvine-ca-92618--2081043871
92618,Pembroke,34,Single Family,https://www.trulia.com/p/ca/irvine/26-pembroke-irvine-ca-92618--1042341181
92618,Pembroke,34,Single Family,https://www.trulia.com/p/ca/irvine/27-pembroke-irvine-ca-92618--1001998614
92618,Pembroke,34,Single Family,https://www.trulia.com/p/ca/irvine/28-pembroke-irvine-ca-92618--2081044257
92618,Pembroke,34,Single Family,https://www.trulia.com/p/ca/irvine/29-pembroke-irvine-ca-92618--2081044361
92618,Pembroke,34,Single Family,https://www.trulia.com/p/ca/irvine/30-pembroke-irvine-ca-92618--2081044612
92618,Pembroke,34,Single Family,https://www.trulia.com/p/ca/irvine/31-pembroke-irvine-ca-92618--2081044773
92618,Pembroke,34,Single Family,https://www.trulia.com/p/ca/irvine/32-pembroke-irvine-ca-92618--2081044959
92618,Pembroke,34,Single Family,https://www.trulia.com/p/ca/irvine/33-pembroke-irvine-ca-92618--2081045115
92618,Pembroke,34,Single Family,https://www.trulia.com/p/ca/irvine/34-pembroke-irvine-ca-92618--2081045241
92618,Pembroke,34,Single Family,https://www.trulia.com/p/ca/irvine/35-pembroke-irvine-ca-92618--1002017676
92618,Pembroke,34,Single Family,https://www.trulia.com/p/ca/irvine/36-pembroke-irvine-ca-92618--2081045434
92618,Pembroke,34,Single Family,https://www.trulia.com/p/ca/irvine/37-pembroke-irvine-ca-92618--1011163145
92618,Pembroke,34,Single Family,https://www.trulia.com/p/ca/irvine/38-pembroke-irvine-ca-92618--2081045567
